reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
Electricity mix,81,72,False,,02-electricity,variable-mix
"Electricity, high voltage, at grid",81,1,True,0.010835896147770942,02-electricity,trivial-template
"Electricity, low voltage, at grid",81,1,True,0.3888426805167106,02-electricity,template-with-variation
"Electricity, medium voltage, at grid",81,1,True,0.14234548235840774,02-electricity,trivial-template
"Electricity, production mix",81,70,False,,02-electricity,variable-mix
"Natural gas, burned in gas turbine",68,2,False,,05-energy,variable-mix
"Natural gas, low pressure, at consumer",64,2,False,,05-energy,variable-mix
"Natural gas, high pressure, at consumer",64,62,False,,05-energy,variable-mix
"Crude oil, at production offshore",50,5,False,,05-energy,variable-mix
"Crude oil, at production",50,1,True,0.8551502525781026,05-energy,template-with-variation
"Natural gas, at production",50,1,True,0.833561887343781,05-energy,template-with-variation
"Crude oil, at production onshore",50,50,False,,05-energy,variable-mix
"Natural gas, at production offshore",50,4,False,,05-energy,variable-mix
"Natural gas, at production onshore",50,50,False,,05-energy,variable-mix
"Tap water, water balance according to MoeK 2013, at user",48,48,False,,10-building-services,variable-mix
"Electricity, hydropower, at pumped storage power plant",47,35,False,,02-electricity,variable-mix
Electricity imports,46,31,False,,02-electricity,variable-mix
"Crude oil, market mix, at long distance transport",43,19,False,,05-energy,variable-mix
"Transport, natural gas, onshore pipeline, long distance",42,3,False,,05-energy,variable-mix
"Natural gas, burned in power plant or heat plant",38,4,False,,05-energy,variable-mix
"Electricity, from natural gas",38,4,False,,02-electricity,variable-mix
"Heat, from natural gas",34,4,False,,05-energy,variable-mix
"Heat, natural gas, at CHP power plant",34,1,True,0.17993080583026577,05-energy,template-with-variation
"Electricity, production mix photovoltaic, at plant",33,33,False,,02-electricity,variable-mix
"Electricity, natural gas, at CHP power plant",32,1,True,0.13785181809955138,02-electricity,trivial-template
"Water, deionised, water balance according to MoeK 2013, at plant",32,32,False,,10-building-services,variable-mix
"xxx Electricity mix, GO cancellations",31,13,False,,02-electricity,variable-mix
"xxx Electricity mix, high voltage, GO cancellations",31,1,True,1.1749486895461645,02-electricity,template-with-variation
"xxx Electricity mix, medium voltage, GO cancellations",31,1,True,0.9070760167268409,02-electricity,template-with-variation
"xxx Electricity, GO supply mix",31,11,False,,02-electricity,variable-mix
"xxx Electricity, high voltage, GO supply mix",31,1,True,1.0150135803344644,02-electricity,template-with-variation
"xxx Electricity, low voltage, GO supply mix",31,1,True,0.9986510305228211,02-electricity,template-with-variation
"xxx Electricity, medium voltage, GO supply mix",31,1,True,1.1462978273536382,02-electricity,template-with-variation
"xxx Electricity mix, low voltage, GO cancellations",31,1,True,0.8433138203860705,02-electricity,template-with-variation
"Electricity, natural gas, at power plant",30,1,True,0.3106334239123521,02-electricity,template-with-variation
"xxx Electricity, residual mix",30,12,False,,02-electricity,variable-mix
"xxx Electricity, medium voltage, residual mix",30,1,True,1.1551698869694842,02-electricity,template-with-variation
"xxx Electricity, low voltage, residual mix",30,1,True,1.2549470181112454,02-electricity,template-with-variation
"Natural gas, production US, at long-distance pipeline",30,3,False,,05-energy,variable-mix
"xxx Electricity, high voltage, residual mix",30,1,True,1.00725420605816,02-electricity,template-with-variation
"Natural gas, production US, at evaporation plant",29,2,False,,05-energy,variable-mix
"Natural gas, production RU, at long-distance pipeline",29,6,False,,05-energy,variable-mix
"Electricity, hard coal, at power plant",28,4,False,,02-electricity,variable-mix
"Natural gas, liquefied, production US, at freight ship",28,2,False,,05-energy,variable-mix
"Heat, natural gas, at heat plant",27,1,True,0.10067804238250905,05-energy,trivial-template
"Electricity, hydropower, at power plant",26,7,False,,02-electricity,variable-mix
"Hard coal, burned in power plant",25,12,False,,02-electricity,variable-mix
"Natural gas, production DZ, at long-distance pipeline",23,4,False,,05-energy,variable-mix
"Natural gas, production TT, at long-distance pipeline",23,3,False,,05-energy,variable-mix
"Natural gas, liquefied, production TT, at freight ship",22,2,False,,05-energy,variable-mix
"Natural gas, production TT, at evaporation plant",22,1,True,0.2441227808634101,05-energy,template-with-variation
"Natural gas, production NG, at long-distance pipeline",22,3,False,,05-energy,variable-mix
"Natural gas, production NG, at evaporation plant",21,2,False,,05-energy,variable-mix
"Electricity, oil, at power plant",21,2,False,,02-electricity,variable-mix
"Natural gas, production QA, at long-distance pipeline",21,3,False,,05-energy,variable-mix
"Natural gas, production RU, at evaporation plant",21,2,False,,05-energy,variable-mix
"Heavy fuel oil, burned in power plant",21,10,False,,02-electricity,variable-mix
"Natural gas, liquefied, production RU, at freight ship",20,1,True,0.6658332158827593,05-energy,template-with-variation
"Natural gas, production DZ, at evaporation plant",20,2,False,,05-energy,variable-mix
"Natural gas, liquefied, production NG, at freight ship",20,2,False,,05-energy,variable-mix
"Natural gas, production QA, at evaporation plant",20,2,False,,05-energy,variable-mix
"Natural gas, liquefied, production QA, at freight ship",19,2,False,,05-energy,variable-mix
"Natural gas, liquefied, production DZ, at freight ship",19,1,True,0.7134416176010957,05-energy,template-with-variation
"Natural gas, production EG, at long-distance pipeline",19,3,False,,05-energy,variable-mix
"Natural gas, production NO, at long-distance pipeline",19,7,False,,05-energy,variable-mix
"Natural gas, production EG, at evaporation plant",18,1,True,0.26531525440152115,05-energy,template-with-variation
"Natural gas, liquefied, production EG, at freight ship",18,2,False,,05-energy,variable-mix
"Electricity, lignite, at power plant",17,4,False,,02-electricity,variable-mix
"Natural gas, liquefied, at liquefaction plant",16,1,True,0.0,05-energy,trivial-template
"Natural gas, production NO, at evaporation plant",15,2,False,,05-energy,variable-mix
"Transport, natural gas, offshore pipeline, long distance",15,2,False,,05-energy,variable-mix
"Natural gas, production OM, at long-distance pipeline",15,3,False,,05-energy,variable-mix
"Natural gas, liquefied, production NO, at freight ship",14,1,True,0.5540297467667754,05-energy,template-with-variation
"Natural gas, liquefied, production OM, at freight ship",14,2,False,,05-energy,variable-mix
"Heat, hard coal, at cogen, allocation exergy",14,2,False,,05-energy,variable-mix
Hard coal supply mix,14,10,False,,05-energy,variable-mix
"Lignite, burned in power plant",14,6,False,,02-electricity,variable-mix
"Natural gas, production OM, at evaporation plant",14,1,True,0.2929151279034834,05-energy,template-with-variation
"Natural gas, burned in power plant",13,3,False,,02-electricity,variable-mix
"Natural gas, production PE, at long-distance pipeline",13,3,False,,05-energy,variable-mix
"Disposal, lignite ash, 0% water, to opencast refill",13,1,True,2.6249666365898765,10-building-services,template-with-variation
"Natural gas, production ID, at long-distance pipeline",13,4,False,,05-energy,variable-mix
"Natural gas, liquefied, production PE, at freight ship",12,1,True,0.2938218157897624,05-energy,template-with-variation
"Natural gas, production DE, at long-distance pipeline",12,2,False,,05-energy,variable-mix
"Natural gas, production AU, at long-distance pipeline",12,3,False,,05-energy,variable-mix
"Natural gas, production PE, at evaporation plant",12,1,True,0.3101504117122041,05-energy,template-with-variation
"Disposal, hard coal ash, 0% water, to residual material landfill",12,1,True,2.3668296396182913,06-waste,template-with-variation
"Natural gas, production AE, at long-distance pipeline",11,4,False,,05-energy,variable-mix
"Natural gas, production ID, at evaporation plant",11,1,True,0.319880771558456,05-energy,template-with-variation
